Pointing,GLat,GLong
PKS_0328_2018-07-07T05:00,302.52,-3.44
PKS_0328_2018-07-07T05:00,306.72,-3.44
PKS_0328_2018-07-07T05:00,307.77,-3.64
PKS_0328_2018-07-07T05:00,47.48,1.41
PKS_0328_2018-07-07T05:00,49.58,0.2
PKS_0328_2018-07-07T05:00,306.6,-3.64
PKS_0328_2018-07-07T05:00,350.58,-4.65
PKS_0328_2018-07-07T05:00,351.87,-4.85
PKS_0328_2018-07-07T05:00,11.67,2.42
PKS_0328_2018-07-07T05:00,13.07,2.42
PKS_0328_2018-07-07T05:00,15.98,2.63
PKS_0328_2018-07-07T05:00,29.28,1.41
PKS_0328_2018-07-07T05:00,30.92,1.41
PKS_0328_2018-07-07T05:00,41.77,1.21
PKS_0328_2018-07-07T05:00,44.68,1.41
PKS_0328_2018-07-07T05:00,51.68,-1.01
PKS_0328_2018-07-07T05:00,54.72,-1.01
PKS_0328_2018-07-07T05:00,305.08,-3.44
PKS_0328_2018-07-07T05:00,306.37,-3.64
PKS_0328_2018-07-07T05:00,18.67,2.42
PKS_0328_2018-07-07T05:00,32.08,1.41
PKS_0328_2018-07-07T05:00,41.88,1.41
PKS_0328_2018-07-07T05:00,42.0,1.21
PKS_0328_2018-07-07T05:00,43.17,1.21
PKS_0328_2018-07-07T05:00,50.4,-1.21
PKS_0328_2018-07-07T05:00,51.92,-1.01
PKS_0328_2018-07-07T05:00,57.28,-1.01
PKS_0328_2018-07-07T05:00,58.57,-1.21
PKS_0328_2018-07-07T05:00,51.22,0.2
PKS_0328_2018-07-07T05:00,305.2,-3.64
PKS_0328_2018-07-07T05:00,305.32,-3.44
PKS_0328_2018-07-07T05:00,29.52,1.41
PKS_0328_2018-07-07T05:00,43.28,1.41
PKS_0328_2018-07-07T05:00,53.32,-1.01
PKS_0328_2018-07-07T05:00,303.8,-3.64
PKS_0328_2018-07-07T05:00,303.92,-3.44
PKS_0328_2018-07-07T05:00,349.42,-4.65
PKS_0328_2018-07-07T05:00,350.47,-4.85
PKS_0328_2018-07-07T05:00,4.78,5.05
PKS_0328_2018-07-07T05:00,6.77,6.06
PKS_0328_2018-07-07T05:00,9.57,3.64
PKS_0328_2018-07-07T05:00,9.8,3.64
PKS_0328_2018-07-07T05:00,10.62,2.63
PKS_0328_2018-07-07T05:00,30.68,1.41
PKS_0328_2018-07-07T05:00,42.12,1.41
PKS_0328_2018-07-07T05:00,49.0,1.21
PKS_0328_2018-07-07T05:00,51.57,-1.21
PKS_0328_2018-07-07T05:00,51.8,-1.21
PKS_0328_2018-07-07T05:00,52.97,-1.21
PKS_0328_2018-07-07T05:00,49.47,0.0
PKS_0328_2018-07-07T05:00,57.4,-1.21
PKS_0328_2018-07-07T05:00,50.87,0.0
PKS_0328_2018-07-07T05:00,50.98,0.2
PKS_0328_2018-07-07T05:00,52.27,0.0
PKS_0328_2018-07-07T05:00,306.48,-3.44
PKS_0328_2018-07-07T05:00,308.0,-3.64
PKS_0328_2018-07-07T05:00,350.82,-4.65
PKS_0328_2018-07-07T05:00,9.68,3.84
PKS_0328_2018-07-07T05:00,10.38,2.63
PKS_0328_2018-07-07T05:00,13.18,2.63
PKS_0328_2018-07-07T05:00,16.22,2.63
PKS_0328_2018-07-07T05:00,17.27,2.42
PKS_0328_2018-07-07T05:00,17.5,2.42
PKS_0328_2018-07-07T05:00,32.32,1.41
PKS_0328_2018-07-07T05:00,55.88,-1.01
PKS_0328_2018-07-07T05:00,308.12,-3.44
PKS_0328_2018-07-07T05:00,4.2,6.06
PKS_0328_2018-07-07T05:00,16.1,2.42
PKS_0328_2018-07-07T05:00,30.8,1.21
PKS_0328_2018-07-07T05:00,31.97,1.21
PKS_0328_2018-07-07T05:00,44.8,1.21
PKS_0328_2018-07-07T05:00,302.28,-3.44
PKS_0328_2018-07-07T05:00,303.57,-3.64
PKS_0328_2018-07-07T05:00,303.68,-3.44
PKS_0328_2018-07-07T05:00,304.97,-3.64
PKS_0328_2018-07-07T05:00,4.9,4.85
PKS_0328_2018-07-07T05:00,15.87,2.42
PKS_0328_2018-07-07T05:00,17.38,2.63
PKS_0328_2018-07-07T05:00,32.2,1.21
PKS_0328_2018-07-07T05:00,54.37,-1.21
PKS_0328_2018-07-07T05:00,55.77,-1.21
PKS_0328_2018-07-07T05:00,49.7,0.0
PKS_0328_2018-07-07T05:00,307.88,-3.44
PKS_0328_2018-07-07T05:00,7.0,6.06
PKS_0328_2018-07-07T05:00,13.42,2.63
PKS_0328_2018-07-07T05:00,13.3,2.42
PKS_0328_2018-07-07T05:00,14.47,2.42
PKS_0328_2018-07-07T05:00,30.57,1.21
PKS_0328_2018-07-07T05:00,43.4,1.21
PKS_0328_2018-07-07T05:00,50.28,-1.01
PKS_0356_2018-09-11T09:00,335.77,3.64
PKS_0356_2018-09-11T09:00,347.2,3.64
PKS_0356_2018-09-11T09:00,305.43,-44.33
PKS_0356_2018-09-11T09:00,304.73,-43.12
PKS_0356_2018-09-11T09:00,254.57,1.21
PKS_0356_2018-09-11T09:00,260.28,1.41
PKS_0356_2018-09-11T09:00,261.57,1.21
PKS_0356_2018-09-11T09:00,302.52,-44.13
PKS_0356_2018-09-11T09:00,303.1,-43.12
PKS_0356_2018-09-11T09:00,322.0,3.64
PKS_0356_2018-09-11T09:00,327.37,3.64
PKS_0356_2018-09-11T09:00,348.72,3.84
PKS_0356_2018-09-11T09:00,303.92,-44.13
PKS_0356_2018-09-11T09:00,300.3,-43.12
PKS_0356_2018-09-11T09:00,300.53,-43.12
PKS_0356_2018-09-11T09:00,302.05,-42.92
PKS_0356_2018-09-11T09:00,304.85,-42.92
PKS_0356_2018-09-11T09:00,306.13,-43.12
PKS_0356_2018-09-11T09:00,334.37,3.64
PKS_0356_2018-09-11T09:00,334.72,3.84
PKS_0356_2018-09-11T09:00,347.32,3.84
PKS_0356_2018-09-11T09:00,349.77,3.64
PKS_0356_2018-09-11T09:00,352.57,3.64
PKS_0356_2018-09-11T09:00,305.32,-44.13
PKS_0356_2018-09-11T09:00,303.45,-42.92
PKS_0356_2018-09-11T09:00,304.5,-43.12
PKS_0356_2018-09-11T09:00,238.12,1.41
PKS_0356_2018-09-11T09:00,320.72,3.84
PKS_0356_2018-09-11T09:00,321.77,3.64
PKS_0356_2018-09-11T09:00,326.32,3.84
PKS_0356_2018-09-11T09:00,351.28,3.84
PKS_0356_2018-09-11T09:00,259.12,1.41
PKS_0356_2018-09-11T09:00,327.6,3.64
PKS_0356_2018-09-11T09:00,302.75,-44.13
PKS_0356_2018-09-11T09:00,303.22,-42.92
PKS_0356_2018-09-11T09:00,299.6,-41.91
PKS_0356_2018-09-11T09:00,260.52,1.41
PKS_0356_2018-09-11T09:00,334.6,3.64
PKS_0356_2018-09-11T09:00,348.48,3.84
PKS_0356_2018-09-11T09:00,351.52,3.84
PKS_0356_2018-09-11T09:00,352.68,3.84
PKS_0356_2018-09-11T09:00,304.03,-44.33
PKS_0356_2018-09-11T09:00,304.15,-44.13
PKS_0356_2018-09-11T09:00,301.93,-43.12
PKS_0356_2018-09-11T09:00,304.62,-42.92
PKS_0356_2018-09-11T09:00,255.97,1.21
PKS_0356_2018-09-11T09:00,256.08,1.41
PKS_0356_2018-09-11T09:00,259.0,1.21
PKS_0356_2018-09-11T09:00,260.4,1.21
PKS_0356_2018-09-11T09:00,301.23,-41.91
PKS_0356_2018-09-11T09:00,320.37,3.64
PKS_0356_2018-09-11T09:00,336.0,3.64
PKS_0356_2018-09-11T09:00,301.7,-43.12
PKS_0356_2018-09-11T09:00,301.82,-42.92
PKS_0356_2018-09-11T09:00,299.72,-41.71
PKS_0356_2018-09-11T09:00,237.88,1.41
PKS_0356_2018-09-11T09:00,254.8,1.21
PKS_0356_2018-09-11T09:00,256.2,1.21
PKS_0356_2018-09-11T09:00,320.37,3.64
PKS_0356_2018-09-11T09:00,348.6,3.64
PKS_0356_2018-09-11T09:00,303.8,-44.33
PKS_0356_2018-09-11T09:00,302.4,-41.91
PKS_0356_2018-09-11T09:00,254.92,1.41
PKS_0356_2018-09-11T09:00,256.32,1.41
PKS_0356_2018-09-11T09:00,258.77,1.21
PKS_0356_2018-09-11T09:00,260.17,1.21
PKS_0356_2018-09-11T09:00,301.0,-41.91
PKS_0356_2018-09-11T09:00,320.48,3.84
PKS_0356_2018-09-11T09:00,300.42,-42.92
PKS_0356_2018-09-11T09:00,303.33,-43.12
PKS_0356_2018-09-11T09:00,301.35,-41.71
PKS_0356_2018-09-11T09:00,254.68,1.41
PKS_0356_2018-09-11T09:00,325.97,3.64
PKS_0356_2018-09-11T09:00,326.2,3.64
PKS_0356_2018-09-11T09:00,350.12,3.84
PKS_0356_2018-09-11T09:00,350.0,3.64
PKS_0356_2018-09-11T09:00,351.17,3.64
PKS_0356_2018-09-11T09:00,305.55,-44.13
PKS_0356_2018-09-11T09:00,299.95,-41.71
PKS_0356_2018-09-11T09:00,306.02,-42.92
PKS_0356_2018-09-11T09:00,348.37,3.64
PKS_0356_2018-09-11T09:00,351.4,3.64
PKS_0356_2018-09-11T09:00,305.2,-44.33
PKS_0356_2018-09-11T09:00,258.88,1.41
PKS_0356_2018-09-11T09:00,302.63,-44.33
PKS_0356_2018-09-11T09:00,305.9,-43.12
PKS_0356_2018-09-11T09:00,238.0,1.21
PKS_0356_2018-09-11T09:00,320.6,3.64
PKS_0356_2018-09-11T09:00,326.08,3.84
PKS_0356_2018-09-11T09:00,349.88,3.84
PKS_0356_2018-09-11T09:00,299.83,-41.91
PKS_0356_2018-09-11T09:00,334.48,3.84
PKS_0356_2018-09-11T09:00,301.12,-41.71
PKS_0340_2018-08-13T17:00,235.32,-55.89
PKS_0340_2018-08-13T17:00,234.5,-54.88
PKS_0340_2018-08-13T17:00,294.47,-2.42
PKS_0340_2018-08-13T17:00,301.47,-2.42
PKS_0340_2018-08-13T17:00,301.7,-2.42
PKS_0340_2018-08-13T17:00,301.82,-2.22
PKS_0340_2018-08-13T17:00,303.22,-2.22
PKS_0340_2018-08-13T17:00,304.27,-2.42
PKS_0340_2018-08-13T17:00,233.8,-56.09
PKS_0340_2018-08-13T17:00,239.75,-55.89
PKS_0340_2018-08-13T17:00,250.02,-2.22
PKS_0340_2018-08-13T17:00,254.22,-2.22
PKS_0340_2018-08-13T17:00,255.5,-2.42
PKS_0340_2018-08-13T17:00,274.98,-2.22
PKS_0340_2018-08-13T17:00,297.62,-2.22
PKS_0340_2018-08-13T17:00,303.1,-2.42
PKS_0340_2018-08-13T17:00,234.15,-55.89
PKS_0340_2018-08-13T17:00,235.43,-56.09
PKS_0340_2018-08-13T17:00,235.55,-55.89
PKS_0340_2018-08-13T17:00,236.72,-55.89
PKS_0340_2018-08-13T17:00,238.23,-56.09
PKS_0340_2018-08-13T17:00,238.35,-55.89
PKS_0340_2018-08-13T17:00,249.9,-2.42
PKS_0340_2018-08-13T17:00,256.78,-2.22
PKS_0340_2018-08-13T17:00,257.02,-2.22
PKS_0340_2018-08-13T17:00,262.62,-2.22
PKS_0340_2018-08-13T17:00,263.78,-2.22
PKS_0340_2018-08-13T17:00,269.38,-2.22
PKS_0340_2018-08-13T17:00,276.5,-2.42
PKS_0340_2018-08-13T17:00,294.58,-2.22
PKS_0340_2018-08-13T17:00,294.82,-2.22
PKS_0340_2018-08-13T17:00,295.98,-2.22
PKS_0340_2018-08-13T17:00,298.67,-2.42
PKS_0340_2018-08-13T17:00,299.02,-2.22
PKS_0340_2018-08-13T17:00,300.42,-2.22
PKS_0340_2018-08-13T17:00,302.87,-2.42
PKS_0340_2018-08-13T17:00,233.92,-55.89
PKS_0340_2018-08-13T17:00,236.6,-56.09
PKS_0340_2018-08-13T17:00,239.4,-56.09
PKS_0340_2018-08-13T17:00,239.63,-56.09
PKS_0340_2018-08-13T17:00,234.73,-54.88
PKS_0340_2018-08-13T17:00,247.1,-2.42
PKS_0340_2018-08-13T17:00,246.98,-2.22
PKS_0340_2018-08-13T17:00,248.62,-2.22
PKS_0340_2018-08-13T17:00,249.67,-2.42
PKS_0340_2018-08-13T17:00,249.78,-2.22
PKS_0340_2018-08-13T17:00,252.82,-2.22
PKS_0340_2018-08-13T17:00,253.98,-2.22
PKS_0340_2018-08-13T17:00,255.38,-2.22
PKS_0340_2018-08-13T17:00,255.62,-2.22
PKS_0340_2018-08-13T17:00,256.67,-2.42
PKS_0340_2018-08-13T17:00,259.58,-2.22
PKS_0340_2018-08-13T17:00,263.67,-2.42
PKS_0340_2018-08-13T17:00,263.9,-2.42
PKS_0340_2018-08-13T17:00,269.27,-2.42
PKS_0340_2018-08-13T17:00,275.22,-2.22
PKS_0340_2018-08-13T17:00,295.87,-2.42
PKS_0340_2018-08-13T17:00,296.1,-2.42
PKS_0340_2018-08-13T17:00,296.22,-2.22
PKS_0340_2018-08-13T17:00,297.27,-2.42
PKS_0340_2018-08-13T17:00,297.38,-2.22
PKS_0340_2018-08-13T17:00,297.5,-2.42
PKS_0340_2018-08-13T17:00,300.07,-2.42
PKS_0340_2018-08-13T17:00,300.18,-2.22
PKS_0340_2018-08-13T17:00,300.3,-2.42
PKS_0340_2018-08-13T17:00,302.98,-2.22
PKS_0340_2018-08-13T17:00,235.2,-56.09
PKS_0340_2018-08-13T17:00,236.83,-56.09
PKS_0340_2018-08-13T17:00,248.5,-2.42
PKS_0340_2018-08-13T17:00,248.38,-2.22
PKS_0340_2018-08-13T17:00,252.58,-2.22
PKS_0340_2018-08-13T17:00,294.7,-2.42
PKS_0340_2018-08-13T17:00,298.9,-2.42
PKS_0340_2018-08-13T17:00,239.52,-55.89
PKS_0340_2018-08-13T17:00,247.22,-2.22
PKS_0340_2018-08-13T17:00,259.82,-2.22
PKS_0340_2018-08-13T17:00,262.38,-2.22
PKS_0340_2018-08-13T17:00,268.22,-2.22
PKS_0340_2018-08-13T17:00,276.27,-2.42
PKS_0340_2018-08-13T17:00,236.95,-55.89
PKS_0340_2018-08-13T17:00,206.5,-2.42
PKS_0340_2018-08-13T17:00,255.27,-2.42
PKS_0340_2018-08-13T17:00,256.9,-2.42
PKS_0340_2018-08-13T17:00,275.1,-2.42
PKS_0340_2018-08-13T17:00,298.78,-2.22
PKS_0340_2018-08-13T17:00,234.03,-56.09
PKS_0340_2018-08-13T17:00,238.0,-56.09
PKS_0340_2018-08-13T17:00,238.12,-55.89
PKS_0340_2018-08-13T17:00,254.1,-2.42
PKS_0340_2018-08-13T17:00,269.5,-2.42
PKS_0340_2018-08-13T17:00,269.62,-2.22
PKS_0340_2018-08-13T17:00,274.87,-2.42
PKS_0340_2018-08-13T17:00,301.58,-2.22
PKS_0340_2018-08-13T17:00,304.38,-2.22
PKS_0340_2018-08-13T17:00,304.5,-2.42
PKS_0550_2019-12-17T15:00,299.72,6.26
PKS_0550_2019-12-17T15:00,306.6,6.06
PKS_0550_2019-12-17T15:00,306.72,6.26
PKS_0550_2019-12-17T15:00,307.77,6.06
PKS_0550_2019-12-17T15:00,309.28,6.26
PKS_0550_2019-12-17T15:00,312.2,6.06
PKS_0550_2019-12-17T15:00,280.0,6.06
PKS_0550_2019-12-17T15:00,285.48,6.26
PKS_0550_2019-12-17T15:00,289.8,6.06
PKS_0550_2019-12-17T15:00,306.48,6.26
PKS_0550_2019-12-17T15:00,310.92,6.26
PKS_0550_2019-12-17T15:00,281.4,6.06
PKS_0550_2019-12-17T15:00,303.68,6.26
PKS_0550_2019-12-17T15:00,310.68,6.26
PKS_0550_2019-12-17T15:00,313.48,6.26
PKS_0550_2019-12-17T15:00,275.8,6.06
PKS_0550_2019-12-17T15:00,286.77,6.06
PKS_0550_2019-12-17T15:00,300.77,6.06
PKS_0550_2019-12-17T15:00,300.88,6.26
PKS_0550_2019-12-17T15:00,311.97,6.06
PKS_0550_2019-12-17T15:00,217.12,6.26
PKS_0550_2019-12-17T15:00,279.88,6.26
PKS_0550_2019-12-17T15:00,312.08,6.26
PKS_0550_2019-12-17T15:00,279.77,6.06
PKS_0550_2019-12-17T15:00,285.6,6.06
PKS_0550_2019-12-17T15:00,289.68,6.26
PKS_0550_2019-12-17T15:00,289.92,6.26
PKS_0550_2019-12-17T15:00,296.8,6.06
PKS_0550_2019-12-17T15:00,307.88,6.26
PKS_0550_2019-12-17T15:00,312.32,6.26
PKS_0550_2019-12-17T15:00,274.52,6.26
PKS_0550_2019-12-17T15:00,281.17,6.06
PKS_0550_2019-12-17T15:00,303.92,6.26
PKS_0550_2019-12-17T15:00,310.8,6.06
PKS_0550_2019-12-17T15:00,275.57,6.06
PKS_0550_2019-12-17T15:00,284.32,6.26
PKS_0550_2019-12-17T15:00,287.0,6.06
PKS_0550_2019-12-17T15:00,280.12,6.26
PKS_0550_2019-12-17T15:00,296.68,6.26
PKS_0550_2019-12-17T15:00,303.8,6.06
PKS_0550_2019-12-17T15:00,304.97,6.06
PKS_0550_2019-12-17T15:00,215.6,6.06
PKS_0550_2019-12-17T15:00,291.2,6.06
PKS_0550_2019-12-17T15:00,271.6,6.06
PKS_0550_2019-12-17T15:00,290.97,6.06
PKS_0550_2019-12-17T15:00,306.37,6.06
PKS_0550_2019-12-17T15:00,310.57,6.06
PKS_0550_2019-12-17T15:00,313.6,6.06
PKS_0550_2019-12-17T15:00,217.0,6.06
PKS_0550_2019-12-17T15:00,275.68,6.26
PKS_0550_2019-12-17T15:00,313.37,6.06
PKS_0519_2019-10-14T08:00,353.5,-4.85
PKS_0519_2019-10-14T08:00,341.48,1.41
PKS_0519_2019-10-14T08:00,228.2,-1.21
PKS_0519_2019-10-14T08:00,207.67,-2.42
PKS_0519_2019-10-14T08:00,200.78,-2.22
PKS_0519_2019-10-14T08:00,359.57,-6.06
PKS_0519_2019-10-14T08:00,359.92,-5.86
PKS_0519_2019-10-14T08:00,341.37,1.21
PKS_0519_2019-10-14T08:00,232.4,-1.21
PKS_0519_2019-10-14T08:00,198.22,-2.22
PKS_0519_2019-10-14T08:00,199.62,-2.22
PKS_0519_2019-10-14T08:00,207.9,-2.42
PKS_0519_2019-10-14T08:00,353.27,-4.85
PKS_0519_2019-10-14T08:00,195.18,-2.22
PKS_0519_2019-10-14T08:00,200.9,-2.42
PKS_0519_2019-10-14T08:00,201.02,-2.22
PKS_0519_2019-10-14T08:00,208.02,-2.22
PKS_0519_2019-10-14T08:00,228.32,-1.01
PKS_0519_2019-10-14T08:00,231.0,-1.21
PKS_0519_2019-10-14T08:00,196.58,-2.22
PKS_0519_2019-10-14T08:00,195.42,-2.22
PKS_0519_2019-10-14T08:00,197.98,-2.22
PKS_0519_2019-10-14T08:00,200.67,-2.42
PKS_0519_2019-10-14T08:00,199.38,-2.22
PKS_0519_2019-10-14T08:00,232.17,-1.21
PKS_0519_2019-10-14T08:00,343.12,1.41
PKS_0519_2019-10-14T08:00,202.07,-2.42
PKS_0519_2019-10-14T08:00,197.87,-2.42
PKS_0519_2019-10-14T08:00,207.78,-2.22
PKS_0519_2019-10-14T08:00,229.48,-1.01
PKS_0519_2019-10-14T08:00,228.08,-1.01
PKS_0519_2019-10-14T08:00,341.72,1.41
PKS_0519_2019-10-14T08:00,199.5,-2.42
PKS_0519_2019-10-14T08:00,209.07,-2.42
PKS_0519_2019-10-14T08:00,229.37,-1.21
PKS_0519_2019-10-14T08:00,359.68,-5.86
PKS_0519_2019-10-14T08:00,196.47,-2.42
PKS_0519_2019-10-14T08:00,203.47,-2.42
PKS_0519_2019-10-14T08:00,202.42,-2.22
PKS_0519_2019-10-14T08:00,209.3,-2.42
PKS_0519_2019-10-14T08:00,229.72,-1.01
PKS_0519_2019-10-14T08:00,359.8,-6.06
PKS_0519_2019-10-14T08:00,341.6,1.21
PKS_0519_2019-10-14T08:00,342.88,1.41
PKS_0519_2019-10-14T08:00,342.77,1.21
PKS_0519_2019-10-14T08:00,196.7,-2.42
PKS_0519_2019-10-14T08:00,196.82,-2.22
PKS_0519_2019-10-14T08:00,202.3,-2.42
PKS_0546_2019-12-11T14:00,350.0,3.64
PKS_0546_2019-12-11T14:00,352.57,3.64
PKS_0546_2019-12-11T14:00,353.97,3.64
PKS_0546_2019-12-11T14:00,354.08,3.84
PKS_0546_2019-12-11T14:00,355.48,3.84
PKS_0546_2019-12-11T14:00,355.72,3.84
PKS_0546_2019-12-11T14:00,356.77,3.64
PKS_0546_2019-12-11T14:00,311.38,5.05
PKS_0546_2019-12-11T14:00,314.42,5.05
PKS_0546_2019-12-11T14:00,317.1,4.85
PKS_0546_2019-12-11T14:00,317.22,5.05
PKS_0546_2019-12-11T14:00,318.38,5.05
PKS_0546_2019-12-11T14:00,351.4,3.64
PKS_0546_2019-12-11T14:00,326.67,4.85
PKS_0546_2019-12-11T14:00,312.67,4.85
PKS_0546_2019-12-11T14:00,312.78,5.05
PKS_0546_2019-12-11T14:00,312.9,4.85
PKS_0546_2019-12-11T14:00,314.07,4.85
PKS_0546_2019-12-11T14:00,316.98,5.05
PKS_0546_2019-12-11T14:00,321.07,4.85
PKS_0546_2019-12-11T14:00,321.42,5.05
PKS_0546_2019-12-11T14:00,322.7,4.85
PKS_0546_2019-12-11T14:00,324.1,4.85
PKS_0546_2019-12-11T14:00,352.92,3.84
PKS_0546_2019-12-11T14:00,354.2,3.64
PKS_0546_2019-12-11T14:00,354.32,3.84
PKS_0546_2019-12-11T14:00,355.6,3.64
PKS_0546_2019-12-11T14:00,357.12,3.84
PKS_0546_2019-12-11T14:00,359.68,3.84
PKS_0546_2019-12-11T14:00,359.92,3.84
PKS_0546_2019-12-11T14:00,325.62,5.05
PKS_0546_2019-12-11T14:00,326.78,5.05
PKS_0546_2019-12-11T14:00,313.02,5.05
PKS_0546_2019-12-11T14:00,315.47,4.85
PKS_0546_2019-12-11T14:00,318.5,4.85
PKS_0546_2019-12-11T14:00,350.12,3.84
PKS_0546_2019-12-11T14:00,358.4,3.64
PKS_0546_2019-12-11T14:00,315.7,4.85
PKS_0546_2019-12-11T14:00,355.37,3.64
PKS_0546_2019-12-11T14:00,325.5,4.85
PKS_0546_2019-12-11T14:00,308.7,4.85
PKS_0546_2019-12-11T14:00,318.62,5.05
PKS_0546_2019-12-11T14:00,319.67,4.85
PKS_0546_2019-12-11T14:00,320.02,5.05
PKS_0546_2019-12-11T14:00,352.68,3.84
PKS_0546_2019-12-11T14:00,358.28,3.84
PKS_0546_2019-12-11T14:00,324.22,5.05
PKS_0546_2019-12-11T14:00,311.27,4.85
PKS_0546_2019-12-11T14:00,314.3,4.85
PKS_0546_2019-12-11T14:00,322.82,5.05
PKS_0546_2019-12-11T14:00,323.87,4.85
PKS_0546_2019-12-11T14:00,357.0,3.64
PKS_0546_2019-12-11T14:00,358.52,3.84
PKS_0546_2019-12-11T14:00,325.27,4.85
PKS_0546_2019-12-11T14:00,318.27,4.85
PKS_0546_2019-12-11T14:00,319.78,5.05
PKS_0546_2019-12-11T14:00,321.18,5.05
PKS_0546_2019-12-11T14:00,321.3,4.85
PKS_0546_2019-12-11T14:00,352.8,3.64
PKS_0546_2019-12-11T14:00,356.88,3.84
PKS_0546_2019-12-11T14:00,325.38,5.05
PKS_0546_2019-12-11T14:00,315.58,5.05
PKS_0546_2019-12-11T14:00,315.82,5.05
PKS_0546_2019-12-11T14:00,322.58,5.05
PKS_0553_2019-12-20T15:00,222.02,-4.65
PKS_0553_2019-12-20T15:00,234.38,-4.65
PKS_0553_2019-12-20T15:00,275.1,-4.85
PKS_0553_2019-12-20T15:00,283.38,-4.65
PKS_0553_2019-12-20T15:00,224.47,-4.85
PKS_0553_2019-12-20T15:00,225.98,-4.65
PKS_0553_2019-12-20T15:00,237.42,-4.65
PKS_0553_2019-12-20T15:00,276.5,-4.85
PKS_0553_2019-12-20T15:00,279.42,-4.65
PKS_0553_2019-12-20T15:00,280.7,-4.85
PKS_0553_2019-12-20T15:00,284.67,-4.85
PKS_0553_2019-12-20T15:00,280.58,-4.65
PKS_0553_2019-12-20T15:00,283.5,-4.85
PKS_0553_2019-12-20T15:00,284.9,-4.85
PKS_0553_2019-12-20T15:00,279.3,-4.85
PKS_0553_2019-12-20T15:00,220.38,-4.65
PKS_0553_2019-12-20T15:00,234.27,-4.85
PKS_0553_2019-12-20T15:00,276.27,-4.85
PKS_0553_2019-12-20T15:00,280.82,-4.65
PKS_0553_2019-12-20T15:00,274.98,-4.65
PKS_0553_2019-12-20T15:00,276.38,-4.65
PKS_0553_2019-12-20T15:00,283.27,-4.85
PKS_0553_2019-12-20T15:00,225.87,-4.85
PKS_0553_2019-12-20T15:00,276.62,-4.65
PKS_0553_2019-12-20T15:00,277.67,-4.85
PKS_0553_2019-12-20T15:00,279.07,-4.85
PKS_0553_2019-12-20T15:00,285.02,-4.65
PKS_0553_2019-12-20T15:00,223.07,-4.85
PKS_0553_2019-12-20T15:00,221.78,-4.65
PKS_0553_2019-12-20T15:00,277.78,-4.65
PKS_0553_2019-12-20T15:00,278.02,-4.65
PKS_0553_2019-12-20T15:00,233.22,-4.65
PKS_0553_2019-12-20T15:00,226.22,-4.65
PKS_0553_2019-12-20T15:00,238.58,-4.65
PKS_0553_2019-12-20T15:00,281.87,-4.85
PKS_0553_2019-12-20T15:00,282.1,-4.85
PKS_0553_2019-12-20T15:00,284.78,-4.65
PKS_0553_2019-12-20T15:00,220.27,-4.85
PKS_0553_2019-12-20T15:00,220.62,-4.65
PKS_0553_2019-12-20T15:00,224.58,-4.65
PKS_0553_2019-12-20T15:00,234.5,-4.85
PKS_0553_2019-12-20T15:00,239.98,-4.65
PKS_0553_2019-12-20T15:00,281.98,-4.65
PKS_0553_2019-12-20T15:00,286.07,-4.85
PKS_0553_2019-12-20T15:00,223.3,-4.85
PKS_0553_2019-12-20T15:00,239.87,-4.85
PKS_0553_2019-12-20T15:00,240.1,-4.85
PKS_0553_2019-12-20T15:00,279.18,-4.65
PKS_0553_2019-12-20T15:00,280.47,-4.85
PKS_0553_2019-12-20T15:00,282.22,-4.65
PKS_0553_2019-12-20T15:00,224.7,-4.85
PKS_0553_2019-12-20T15:00,224.82,-4.65
PKS_0553_2019-12-20T15:00,238.82,-4.65
PKS_0553_2019-12-20T15:00,274.87,-4.85
PKS_0553_2019-12-20T15:00,277.9,-4.85
PKS_0553_2019-12-20T15:00,232.98,-4.65
PKS_0553_2019-12-20T15:00,226.1,-4.85
PKS_0553_2019-12-20T15:00,275.22,-4.65
PKS_0553_2019-12-20T15:00,286.3,-4.85
PKS_0318_2018-06-16T19:00,273.7,-38.73
PKS_0318_2018-06-16T19:00,274.05,-38.53
PKS_0318_2018-06-16T19:00,275.1,-38.73
PKS_0318_2018-06-16T19:00,276.85,-38.53
PKS_0318_2018-06-16T19:00,280.7,-38.73
PKS_0318_2018-06-16T19:00,283.73,-38.73
PKS_0318_2018-06-16T19:00,285.25,-38.53
PKS_0318_2018-06-16T19:00,248.62,-4.65
PKS_0318_2018-06-16T19:00,260.87,-4.85
PKS_0318_2018-06-16T19:00,273.82,-38.53
PKS_0318_2018-06-16T19:00,275.22,-38.53
PKS_0318_2018-06-16T19:00,275.45,-38.53
PKS_0318_2018-06-16T19:00,276.73,-38.73
PKS_0318_2018-06-16T19:00,276.62,-38.53
PKS_0318_2018-06-16T19:00,278.25,-38.53
PKS_0318_2018-06-16T19:00,279.42,-38.53
PKS_0318_2018-06-16T19:00,279.65,-38.53
PKS_0318_2018-06-16T19:00,280.82,-38.53
PKS_0318_2018-06-16T19:00,282.33,-38.73
PKS_0318_2018-06-16T19:00,283.85,-38.53
PKS_0318_2018-06-16T19:00,285.02,-38.53
PKS_0318_2018-06-16T19:00,240.22,-4.65
PKS_0318_2018-06-16T19:00,241.38,-4.65
PKS_0318_2018-06-16T19:00,244.18,-4.65
PKS_0318_2018-06-16T19:00,248.27,-4.85
PKS_0318_2018-06-16T19:00,251.18,-4.65
